ship date;tracking;state;zip;custom weight;weight;zone;I;rate;shipper
2016/2/19;1Z091YW70393638537;CA;94549;5;10;4;Ground Residential Third Party;7.04;M T L International
2016/2/19;1Z091YW70393638537;CA;94549;0;0;4;Residential Surcharge;2.11;M T L International
2016/2/19;1Z091YW70393638537;CA;94549;0;0;4;Fuel Surcharge;0.46;M T L International
2016/2/19;1Z091YW70393638537;CA;94549;0;0;4;Third Party Billing Service;0.24;M T L International
2016/2/19;1Z091YW70393638537;CA;94549;0;0;4;Ground Residential Third Party;0;M T L International
2016/2/24;1Z091YW70391917462;WA;98002;24;38;5;Ground Residential Third Party;15.07;M T L International
2016/2/24;1Z091YW70391917462;WA;98002;0;0;5;Residential Surcharge;2.11;M T L International
2016/2/24;1Z091YW70391917462;WA;98002;0;0;5;Fuel Surcharge;0.86;M T L International
2016/2/24;1Z091YW70391917462;WA;98002;0;0;5;Third Party Billing Service;0.45;M T L International
2016/2/24;1Z091YW70391917462;WA;98002;0;0;5;Ground Residential Third Party;0;M T L International
2016/2/26;1Z091YW70390188636;AL;36467;48;76;8;Ground Commercial Third Party;32.9;M T L International
2016/2/26;1Z091YW70390188636;AL;36467;0;0;8;Delivery Area Surcharge - Extended;2.3;M T L International
2016/2/26;1Z091YW70390188636;AL;36467;0;0;8;Fuel Surcharge;1.76;M T L International
2016/2/26;1Z091YW70390188636;AL;36467;0;0;8;Third Party Billing Service;0.92;M T L International
2016/2/26;1Z091YW70390188636;AL;36467;0;0;8;Ground Commercial Third Party;0;M T L International
2016/2/29;1Z091YW70392310990;LA;71295;6;13;7;Ground Residential Third Party;9.94;M T L International
2016/2/29;1Z091YW70392310990;LA;71295;0;0;7;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70392310990;LA;71295;0;0;7;Delivery Area Surcharge - Extended;2.6;M T L International
2016/2/29;1Z091YW70392310990;LA;71295;0;0;7;Fuel Surcharge;0.73;M T L International
2016/2/29;1Z091YW70392310990;LA;71295;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70392310990;LA;71295;0;0;7;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70392942272;ME;4073;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70392942272;ME;4073;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70392942272;ME;4073;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70392942272;ME;4073;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70392942272;ME;4073;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70392526249;NY;13309;16;23;8;Ground Residential Third Party;16.74;M T L International
2016/2/29;1Z091YW70392526249;NY;13309;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70392526249;NY;13309;0;0;8;Delivery Area Surcharge - Extended;2.6;M T L International
2016/2/29;1Z091YW70392526249;NY;13309;0;0;8;Fuel Surcharge;1.07;M T L International
2016/2/29;1Z091YW70392526249;NY;13309;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70392526249;NY;13309;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70392259118;CT;6470;13;14;8;Ground Residential Third Party;11.52;M T L International
2016/2/29;1Z091YW70392259118;CT;6470;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70392259118;CT;6470;0;0;8;Fuel Surcharge;0.68;M T L International
2016/2/29;1Z091YW70392259118;CT;6470;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70392259118;CT;6470;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70394577771;FL;33569;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70394577771;FL;33569;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70394577771;FL;33569;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70394577771;FL;33569;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70394577771;FL;33569;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70392247587;TN;37643;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70392247587;TN;37643;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70392247587;TN;37643;0;0;8;Delivery Area Surcharge;2.05;M T L International
2016/2/29;1Z091YW70392247587;TN;37643;0;0;8;Fuel Surcharge;1.32;M T L International
2016/2/29;1Z091YW70392247587;TN;37643;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70392247587;TN;37643;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70391237590;OH;45885;12;17;8;Ground Residential Third Party;13.07;M T L International
2016/2/29;1Z091YW70391237590;OH;45885;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70391237590;OH;45885;0;0;8;Delivery Area Surcharge;2.05;M T L International
2016/2/29;1Z091YW70391237590;OH;45885;0;0;8;Fuel Surcharge;0.86;M T L International
2016/2/29;1Z091YW70391237590;OH;45885;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70391237590;OH;45885;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70391031801;IN;46040;24;33;7;Ground Residential Third Party;18.73;M T L International
2016/2/29;1Z091YW70391031801;IN;46040;0;0;7;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70391031801;IN;46040;0;0;7;Delivery Area Surcharge;2.05;M T L International
2016/2/29;1Z091YW70391031801;IN;46040;0;0;7;Fuel Surcharge;1.14;M T L International
2016/2/29;1Z091YW70391031801;IN;46040;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70391031801;IN;46040;0;0;7;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70391879638;NY;10512;9;9;8;Ground Residential Third Party;8.8;M T L International
2016/2/29;1Z091YW70391879638;NY;10512;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70391879638;NY;10512;0;0;8;Fuel Surcharge;0.54;M T L International
2016/2/29;1Z091YW70391879638;NY;10512;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70399462475;FL;34266;6;13;8;Ground Residential Third Party;10.89;M T L International
2016/2/29;1Z091YW70399462475;FL;34266;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70399462475;FL;34266;0;0;8;Delivery Area Surcharge - Extended;2.6;M T L International
2016/2/29;1Z091YW70399462475;FL;34266;0;0;8;Fuel Surcharge;0.78;M T L International
2016/2/29;1Z091YW70399462475;FL;34266;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70399462475;FL;34266;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70395944890;NC;28262;5;9;8;Ground Residential Third Party;8.8;M T L International
2016/2/29;1Z091YW70395944890;NC;28262;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70395944890;NC;28262;0;0;8;Fuel Surcharge;0.54;M T L International
2016/2/29;1Z091YW70395944890;NC;28262;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70395944890;NC;28262;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70396442304;TX;78584;24;33;6;Ground Residential Third Party;16.15;M T L International
2016/2/29;1Z091YW70396442304;TX;78584;0;0;6;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70396442304;TX;78584;0;0;6;Delivery Area Surcharge - Extended;2.6;M T L International
2016/2/29;1Z091YW70396442304;TX;78584;0;0;6;Fuel Surcharge;1.04;M T L International
2016/2/29;1Z091YW70396442304;TX;78584;0;0;6;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70396442304;TX;78584;0;0;6;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70399142516;OH;43162;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70399142516;OH;43162;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70399142516;OH;43162;0;0;8;Delivery Area Surcharge;2.05;M T L International
2016/2/29;1Z091YW70399142516;OH;43162;0;0;8;Fuel Surcharge;1.32;M T L International
2016/2/29;1Z091YW70399142516;OH;43162;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70399142516;OH;43162;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70398069527;FL;33064;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70398069527;FL;33064;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70398069527;FL;33064;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70398069527;FL;33064;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70398069527;FL;33064;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70398899943;PA;15108;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70398899943;PA;15108;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70398899943;PA;15108;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70398899943;PA;15108;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70398899943;PA;15108;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70395851356;MD;20841;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70395851356;MD;20841;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70395851356;MD;20841;0;0;8;Delivery Area Surcharge;2.05;M T L International
2016/2/29;1Z091YW70395851356;MD;20841;0;0;8;Fuel Surcharge;1.32;M T L International
2016/2/29;1Z091YW70395851356;MD;20841;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70395851356;MD;20841;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70398324992;MN;55040;16;23;7;Ground Residential Third Party;14.55;M T L International
2016/2/29;1Z091YW70398324992;MN;55040;0;0;7;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70398324992;MN;55040;0;0;7;Delivery Area Surcharge;2.05;M T L International
2016/2/29;1Z091YW70398324992;MN;55040;0;0;7;Fuel Surcharge;0.94;M T L International
2016/2/29;1Z091YW70398324992;MN;55040;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70398324992;MN;55040;0;0;7;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70399330401;MI;48412;24;33;8;Ground Commercial Third Party;21.43;M T L International
2016/2/29;1Z091YW70399330401;MI;48412;24;33;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70399330401;MI;48412;0;0;8;Delivery Area Surcharge - Extended;1.49;M T L International
2016/2/29;1Z091YW70399330401;MI;48412;0;0;8;Fuel Surcharge;1.15;M T L International
2016/2/29;1Z091YW70399330401;MI;48412;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70399330401;MI;48412;0;0;8;Ground Commercial Third Party;0;M T L International
2016/2/29;1Z091YW70399093623;PA;17015;16;23;8;Ground Residential Third Party;16.74;M T L International
2016/2/29;1Z091YW70399093623;PA;17015;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70399093623;PA;17015;0;0;8;Fuel Surcharge;0.94;M T L International
2016/2/29;1Z091YW70399093623;PA;17015;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70399093623;PA;17015;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70395219432;PA;18976;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70395219432;PA;18976;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70395219432;PA;18976;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70395219432;PA;18976;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70395219432;PA;18976;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70397220042;TX;77901;24;33;6;Ground Residential Third Party;16.15;M T L International
2016/2/29;1Z091YW70397220042;TX;77901;0;0;6;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70397220042;TX;77901;0;0;6;Fuel Surcharge;0.91;M T L International
2016/2/29;1Z091YW70397220042;TX;77901;0;0;6;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70397220042;TX;77901;0;0;6;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70399879454;IL;60002;16;23;7;Ground Residential Third Party;14.55;M T L International
2016/2/29;1Z091YW70399879454;IL;60002;0;0;7;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70399879454;IL;60002;0;0;7;Fuel Surcharge;0.83;M T L International
2016/2/29;1Z091YW70399879454;IL;60002;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70399879454;IL;60002;0;0;7;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70397510676;FL;33021;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70397510676;FL;33021;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70397510676;FL;33021;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70397510676;FL;33021;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70397510676;FL;33021;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70398585095;MD;20636;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70398585095;MD;20636;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70398585095;MD;20636;0;0;8;Delivery Area Surcharge;2.05;M T L International
2016/2/29;1Z091YW70398585095;MD;20636;0;0;8;Fuel Surcharge;1.32;M T L International
2016/2/29;1Z091YW70398585095;MD;20636;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70398585095;MD;20636;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70395498506;MN;56001;24;33;7;Ground Commercial Third Party;18.08;M T L International
2016/2/29;1Z091YW70395498506;MN;56001;0;0;7;Fuel Surcharge;0.9;M T L International
2016/2/29;1Z091YW70395498506;MN;56001;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70395498506;MN;56001;0;0;7;Ground Commercial Third Party;0;M T L International
2016/2/29;1Z091YW70398894715;MI;48150;24;33;8;Ground Commercial Third Party;21.43;M T L International
2016/2/29;1Z091YW70398894715;MI;48150;0;0;8;Fuel Surcharge;1.07;M T L International
2016/2/29;1Z091YW70398894715;MI;48150;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70398894715;MI;48150;0;0;8;Ground Commercial Third Party;0;M T L International
2016/2/29;1Z091YW70395197724;OH;45638;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70395197724;OH;45638;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70395197724;OH;45638;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70395197724;OH;45638;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70395197724;OH;45638;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70398751539;MI;48125;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70398751539;MI;48125;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70398751539;MI;48125;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70398751539;MI;48125;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70398751539;MI;48125;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70395420142;AR;72118;24;33;7;Ground Residential Third Party;18.73;M T L International
2016/2/29;1Z091YW70395420142;AR;72118;0;0;7;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70395420142;AR;72118;0;0;7;Fuel Surcharge;1.04;M T L International
2016/2/29;1Z091YW70395420142;AR;72118;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70395420142;AR;72118;0;0;7;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70399187559;OK;74044;24;33;6;Ground Residential Third Party;16.15;M T L International
2016/2/29;1Z091YW70399187559;OK;74044;0;0;6;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70399187559;OK;74044;0;0;6;Delivery Area Surcharge - Extended;2.6;M T L International
2016/2/29;1Z091YW70399187559;OK;74044;0;0;6;Fuel Surcharge;1.04;M T L International
2016/2/29;1Z091YW70399187559;OK;74044;0;0;6;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70399187559;OK;74044;0;0;6;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70396757760;IL;60007;24;33;7;Ground Residential Third Party;18.73;M T L International
2016/2/29;1Z091YW70396757760;IL;60007;0;0;7;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70396757760;IL;60007;0;0;7;Fuel Surcharge;1.04;M T L International
2016/2/29;1Z091YW70396757760;IL;60007;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70396757760;IL;60007;0;0;7;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;9;9;8;Ground Residential Third Party;8.8;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Delivery Area Surcharge - Extended;2.6;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Additional Handling;10.5;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Fuel Surcharge;0.67;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Residential Surcharge;0;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Delivery Area Surcharge - Extended;0;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Additional Handling;0;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Fuel Surcharge;0;M T L International
2016/2/29;1Z091YW70395725199;KY;41097;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70398946605;FL;33619;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70398946605;FL;33619;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70398946605;FL;33619;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70398946605;FL;33619;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70398946605;FL;33619;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70395381828;MO;63052;11;11;7;Ground Residential Third Party;8.91;M T L International
2016/2/29;1Z091YW70395381828;MO;63052;0;0;7;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70395381828;MO;63052;0;0;7;Fuel Surcharge;0.55;M T L International
2016/2/29;1Z091YW70395381828;MO;63052;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70391424164;CT;6457;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70391424164;CT;6457;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70391424164;CT;6457;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70391424164;CT;6457;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70391424164;CT;6457;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70394394218;MA;1020;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70394394218;MA;1020;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70394394218;MA;1020;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70394394218;MA;1020;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70394394218;MA;1020;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70398167331;NY;14611;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70398167331;NY;14611;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70398167331;NY;14611;0;0;8;Fuel Surcharge;1.21;M T L International
2016/2/29;1Z091YW70398167331;NY;14611;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70398167331;NY;14611;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70399258384;NY;12303;16;23;8;Ground Residential Third Party;16.74;M T L International
2016/2/29;1Z091YW70399258384;NY;12303;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70399258384;NY;12303;0;0;8;Fuel Surcharge;0.94;M T L International
2016/2/29;1Z091YW70399258384;NY;12303;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70399258384;NY;12303;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70399050482;NY;14767;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/2/29;1Z091YW70399050482;NY;14767;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70399050482;NY;14767;0;0;8;Delivery Area Surcharge - Extended;2.6;M T L International
2016/2/29;1Z091YW70399050482;NY;14767;0;0;8;Fuel Surcharge;1.34;M T L International
2016/2/29;1Z091YW70399050482;NY;14767;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70399050482;NY;14767;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/29;1Z091YW70397322585;FL;34208;9;9;8;Ground Residential Third Party;8.8;M T L International
2016/2/29;1Z091YW70397322585;FL;34208;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70397322585;FL;34208;0;0;8;Additional Handling;10.5;M T L International
2016/2/29;1Z091YW70397322585;FL;34208;0;0;8;Fuel Surcharge;0.54;M T L International
2016/2/29;1Z091YW70397322585;FL;34208;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70397322585;FL;34208;0;0;8;Residential Surcharge;0;M T L International
2016/2/29;1Z091YW70397322585;FL;34208;0;0;8;Additional Handling;0;M T L International
2016/2/29;1Z091YW70397322585;FL;34208;0;0;8;Fuel Surcharge;0;M T L International
2016/2/29;1Z091YW70397322585;FL;34208;0;0;8;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;9;9;7;Ground Commercial Third Party;7.77;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;9;9;7;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;0;0;7;Delivery Area Surcharge - Extended;1.49;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;0;0;7;Additional Handling;10.5;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;0;0;7;Fuel Surcharge;0.46;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;0;0;7;Delivery Area Surcharge - Extended;0;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;0;0;7;Additional Handling;0;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;0;0;7;Fuel Surcharge;0;M T L International
2016/2/29;1Z091YW70396290817;IN;46984;0;0;7;Third Party Billing Service;0;M T L International
2016/2/29;1Z091YW70397763635;NY;13027;9;9;8;Ground Residential Third Party;8.8;M T L International
2016/2/29;1Z091YW70397763635;NY;13027;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/29;1Z091YW70397763635;NY;13027;0;0;8;Fuel Surcharge;0.54;M T L International
2016/2/29;1Z091YW70397763635;NY;13027;0;0;8;Third Party Billing Service;0;M T L International
2016/3/1;1Z091YW70395493869;VA;23803;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/3/1;1Z091YW70395493869;VA;23803;0;0;8;Residential Surcharge;2.11;M T L International
2016/3/1;1Z091YW70395493869;VA;23803;0;0;8;Fuel Surcharge;1.21;M T L International
2016/3/1;1Z091YW70395493869;VA;23803;0;0;8;Third Party Billing Service;0;M T L International
2016/3/1;1Z091YW70395493869;VA;23803;0;0;8;Ground Residential Third Party;0;M T L International
2016/3/1;1Z091YW70398878877;WI;53007;24;33;7;Ground Residential Third Party;18.73;M T L International
2016/3/1;1Z091YW70398878877;WI;53007;0;0;7;Residential Surcharge;2.11;M T L International
2016/3/1;1Z091YW70398878877;WI;53007;0;0;7;Fuel Surcharge;1.04;M T L International
2016/3/1;1Z091YW70398878877;WI;53007;0;0;7;Third Party Billing Service;0;M T L International
2016/3/1;1Z091YW70398878877;WI;53007;0;0;7;Ground Residential Third Party;0;M T L International
2016/3/1;1Z091YW70398745297;FL;33565;24;33;8;Ground Residential Third Party;22.2;M T L International
2016/3/1;1Z091YW70398745297;FL;33565;0;0;8;Residential Surcharge;2.11;M T L International
2016/3/1;1Z091YW70398745297;FL;33565;0;0;8;Fuel Surcharge;1.21;M T L International
2016/3/1;1Z091YW70398745297;FL;33565;0;0;8;Third Party Billing Service;0;M T L International
2016/3/1;1Z091YW70398745297;FL;33565;0;0;8;Ground Residential Third Party;0;M T L International
2016/3/1;1Z091YW70397366912;MO;64016;16;23;6;Ground Residential Third Party;12.21;M T L International
2016/3/1;1Z091YW70397366912;MO;64016;0;0;6;Residential Surcharge;2.11;M T L International
2016/3/1;1Z091YW70397366912;MO;64016;0;0;6;Delivery Area Surcharge;2.05;M T L International
2016/3/1;1Z091YW70397366912;MO;64016;0;0;6;Fuel Surcharge;0.82;M T L International
2016/3/1;1Z091YW70397366912;MO;64016;0;0;6;Third Party Billing Service;0;M T L International
2016/3/1;1Z091YW70397366912;MO;64016;0;0;6;Ground Residential Third Party;0;M T L International
2016/3/1;1Z091YW70396255730;IL;61483;24;33;7;Ground Residential Third Party;18.73;M T L International
2016/3/1;1Z091YW70396255730;IL;61483;0;0;7;Residential Surcharge;2.11;M T L International
2016/3/1;1Z091YW70396255730;IL;61483;0;0;7;Delivery Area Surcharge - Extended;2.6;M T L International
2016/3/1;1Z091YW70396255730;IL;61483;0;0;7;Fuel Surcharge;1.17;M T L International
2016/3/1;1Z091YW70396255730;IL;61483;0;0;7;Third Party Billing Service;0;M T L International
2016/3/1;1Z091YW70396255730;IL;61483;0;0;7;Ground Residential Third Party;0;M T L International
2016/3/1;1Z091YW70399643752;MO;63401;16;23;7;Ground Residential Third Party;14.55;M T L International
2016/3/1;1Z091YW70399643752;MO;63401;0;0;7;Residential Surcharge;2.11;M T L International
2016/3/1;1Z091YW70399643752;MO;63401;0;0;7;Delivery Area Surcharge;2.05;M T L International
2016/3/1;1Z091YW70399643752;MO;63401;0;0;7;Fuel Surcharge;0.94;M T L International
2016/3/1;1Z091YW70399643752;MO;63401;0;0;7;Third Party Billing Service;0;M T L International
