ship date;tracking;state;zip;custom weight;weight;zone;I;rate;shipper
2016/2/8;1Z091YW70394915511;PA;16059;24;38;8;Ground Commercial Third Party;24.89;M T L International
2016/2/8;1Z091YW70394915511;PA;16059;0;0;8;Fuel Surcharge;1.25;M T L International
2016/2/8;1Z091YW70394915511;PA;16059;0;0;8;Third Party Billing Service;0.65;M T L International
2016/2/8;1Z091YW70394915511;PA;16059;0;0;8;Ground Commercial Third Party;0;M T L International
2016/2/10;1Z091YW70395157080;TX;75573;17;27;6;Ground Commercial Third Party;14.08;M T L International
2016/2/10;1Z091YW70395157080;TX;75573;0;0;6;Fuel Surcharge;0.7;M T L International
2016/2/10;1Z091YW70395157080;TX;75573;0;0;6;Third Party Billing Service;0.37;M T L International
2016/2/10;1Z091YW70395157080;TX;75573;0;0;6;Ground Commercial Third Party;0;M T L International
2016/2/12;1Z091YW70392159057;NY;10941;24;38;8;Ground Commercial Third Party;24.89;M T L International
2016/2/12;1Z091YW70392159057;NY;10941;0;0;8;Fuel Surcharge;1.25;M T L International
2016/2/12;1Z091YW70392159057;NY;10941;0;0;8;Third Party Billing Service;0.65;M T L International
2016/2/12;1Z091YW70392159057;NY;10941;0;0;8;Ground Commercial Third Party;0;M T L International
2016/2/12;1Z091YW70393560941;RI;2914;17;27;8;Ground Residential Third Party;20;M T L International
2016/2/12;1Z091YW70393560941;RI;2914;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/12;1Z091YW70393560941;RI;2914;0;0;8;Fuel Surcharge;1.11;M T L International
2016/2/12;1Z091YW70393560941;RI;2914;0;0;8;Third Party Billing Service;0.58;M T L International
2016/2/12;1Z091YW70393560941;RI;2914;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/12;1Z091YW70391333173;CT;6114;24;38;8;Ground Commercial Third Party;24.89;M T L International
2016/2/12;1Z091YW70391333173;CT;6114;0;0;8;Fuel Surcharge;1.25;M T L International
2016/2/12;1Z091YW70391333173;CT;6114;0;0;8;Third Party Billing Service;0.65;M T L International
2016/2/12;1Z091YW70391333173;CT;6114;0;0;8;Ground Commercial Third Party;0;M T L International
2016/2/15;1Z091YW70399238753;PA;18976;24;38;8;Ground Residential Third Party;25.75;M T L International
2016/2/15;1Z091YW70399238753;PA;18976;0;0;8;Residential Surcharge;2.11;M T L International
2016/2/15;1Z091YW70399238753;PA;18976;0;0;8;Fuel Surcharge;1.39;M T L International
2016/2/15;1Z091YW70399238753;PA;18976;0;0;8;Third Party Billing Service;0.73;M T L International
2016/2/15;1Z091YW70399238753;PA;18976;0;0;8;Ground Residential Third Party;0;M T L International
2016/2/15;1Z091YW70397104963;WI;53402;24;38;7;Ground Residential Third Party;21.95;M T L International
2016/2/15;1Z091YW70397104963;WI;53402;0;0;7;Residential Surcharge;2.11;M T L International
2016/2/15;1Z091YW70397104963;WI;53402;0;0;7;Fuel Surcharge;1.2;M T L International
2016/2/15;1Z091YW70397104963;WI;53402;0;0;7;Third Party Billing Service;0.63;M T L International
2016/2/15;1Z091YW70397104963;WI;53402;0;0;7;Ground Residential Third Party;0;M T L International
2016/2/15;1Z091YW70396701784;ND;58701;16;27;6;Ground Commercial Third Party;14.08;M T L International
