ship date;tracking;state;zip;custom weight;weight;zone;I;rate;shipper
2016/2/25;1Z2E372V0395120403;CA;94553;18;42;4;Ground Residential;13.51;COASTAL SHINE GOLF TRADING INC
2016/2/25;1Z2E372V0395120403;CA;94553;0;0;4;Residential Surcharge;2.11;COASTAL SHINE GOLF TRADING INC
2016/2/25;1Z2E372V0395120403;CA;94553;0;0;4;Declared Value;2.7;COASTAL SHINE GOLF TRADING INC
2016/2/25;1Z2E372V0395120403;CA;94553;0;0;4;Fuel Surcharge;0.78;COASTAL SHINE GOLF TRADING INC
2016/2/25;1Z2E372V0395120403;CA;94553;0;0;4;Ground Residential;0;COASTAL SHINE GOLF TRADING INC
2016/2/25;1Z2E372V0396867418;OR;97601;17;42;4;Ground Commercial;13.06;COASTAL SHINE GOLF TRADING INC
2016/2/25;1Z2E372V0396867418;OR;97601;0;0;4;Declared Value;2.7;COASTAL SHINE GOLF TRADING INC
2016/2/25;1Z2E372V0396867418;OR;97601;0;0;4;Fuel Surcharge;0.66;COASTAL SHINE GOLF TRADING INC
2016/2/25;1Z2E372V0396867418;OR;97601;0;0;4;Ground Commercial;0;COASTAL SHINE GOLF TRADING INC
2016/3/1;1Z2E372V0390322329;NY;11375;47;47;8;Ground Commercial Collect;0;Nutritionship Inc
2016/3/1;1Z2E372V0391083738;NY;11375;47;47;8;Ground Commercial Collect;0;Nutritionship Inc
2016/3/1;1Z2E372V0391121277;NY;11375;47;47;8;Ground Commercial Collect;0;Nutritionship Inc
2016/3/1;1Z2E372V0391429543;NY;11375;47;47;8;Ground Commercial Collect;0;Nutritionship Inc
2016/3/1;1Z2E372V0392098364;NY;11375;47;47;8;Ground Commercial Collect;0;Nutritionship Inc
2016/3/1;1Z2E372V0392255756;NY;11375;47;47;8;Ground Commercial Collect;0;Nutritionship Inc
2016/3/1;1Z2E372V0392289318;NY;11375;47;47;8;Ground Commercial Collect;0;Nutritionship Inc
2016/3/1;1Z2E372V0392290262;NY;11375;47;47;8;Ground Commercial Collect;0;Nutritionship Inc
